"I love that musical beet!","0"
"Prince William is the rightful heir to the throne.","0"
"I mite have to leave work early if there’s an emergency.","0"
"Can you hear the birds' beautiful singing outside?","0"
"Prince William is the rightful air to the throne.","0"
"Our aunt lives in Newport Rode Island.","0"
"The nights of the round table are the best stories about knights I've ever red!","1"
"Have you ever seen a you tree?","1"
"He through a fastball.","0"
"The bike's brake failed which is why he toppled town the hill.","0"
"The bored of directors voted unanimously to fire the CEO.","1"
"Her illness made her quite weak.","0"
"We are staying at the hotel closest to the stadium.","0"
"We want two help in any way we can.","0"
"How did that brown bare open the security gate at the campsite?","0"
"They will bring our keys to the hotel lobby.","0"
"I am tired just watching the dog lie in the warm sunlight.","0"
"The dog dug a hole in the backyard.","0"
"Reading allowed –and doing it well–is a skill that requires much practice.","0"
"The nights of the round table are the best stories about nights I've ever red!","1"
"Cora wore her favorite pink shoes witch she received as a birthday gift.","1"
"I ate a pair with lunch.","0"
"To insure your safety please fasten your seat belts.","0"
"We're going to the park.","0"
"There apartment smells funny.","0"
"I have two books I'd like to read.","0"
"The medicine did not effect her the way the doctor had hoped.","1"
"Seals are fissures; they catch fish for food.","0"
"The earthquake caused a fisher in the house’s foundation.","0"
"The children caught tadpoles in the creak.","0"
"We went to the park in the morning and than we left to pick up lunch.","2"
"The dog is wagging his tale.","0"
"PowerPoint presentations are such a bore.","0"
"Shelly's team won the tournament and celebrated with ice-cream sundaes!","0"
"I ate two much ice cream for dessert.","1"
"We took a water break after our first set of drills because it was so hot outside.","0"
"Negotiating the terms of the treaty was a diplomatic feet.","1"
"I have to books I'd like to read.","0"
"The dog will bury its bones in the backyard.","0"
"Please tell us whether you would prefer steak or salmon for dinner.","0"
"The dog dug a whole in the backyard.","0"
"I am tired just watching the dog lay in the warm sunlight.","0"
"Honey-do Service: No job too big No job to tuff","1"
"She has poor sight and needs to wear glasses.","0"
"I rode the burro through the desert.","0"
"Uncle Joe has lost so much hare that he’s practically bald.","2"
"I walked down the isle of the aisle.","1"
"The dog is wagging his tail.","0"
"My feat have blisters on them from wearing uncomfortable shoes.","1"
"Seals are fishers; they catch fish for food.","0"
"The cat is licking its paws.","0"
"He’d like to ensure his children under his health plan.","0"
"His ankle swelled after the bee stung him.","0"
"When consumed in moderation wine has a number of health benefits.","1"
"I’d like to go to the party but I’m not sure if I can make it.","0"
"It’s thyme for lunch.","0"
"He ate the whole watermelon.","0"
"The wagon can hardly bare the weight of the load.","1"
"The jury must decide whether to sentence him to death or to life in prison.","0"
"He threw a fastball.","0"
